City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tuktoyaktuk,CA,2019-11-10 03:14:23,69.44,-133.03,5.0,71,20,14.99
70,Vestmannaeyjar,IS,2019-11-10 03:14:23,63.44,-20.27,46.29,74,33,26.98
71,Morondava,MG,2019-11-10 03:14:23,-20.3,44.28,75.27,62,3,2.86
72,Tasiilaq,GL,2019-11-10 03:14:24,65.61,-37.64,35.6,69,100,39.15
73,Alekseyevsk,RU,2019-11-10 03:14:24,57.84,108.35,8.15,81,100,10.67
74,Mataura,NZ,2019-11-10 03:14:24,-46.19,168.86,51.01,88,83,5.99
75,Saskylakh,RU,2019-11-10 03:14:24,71.97,114.09,-0.66,98,100,2.13
76,Mahebourg,MU,2019-11-10 03:14:25,-20.41,57.7,77.0,88,75,3.36
77,Mariental,BR,2019-11-10 03:14:25,-25.72,-49.65,66.99,88,75,9.17
78,Lodja,CD,2019-11-10 03:14:26,-3.52,23.6,68.95,97,98,0.65
79,Victoria,BN,2019-11-10 03:14:06,5.28,115.24,87.8,66,75,3.36
80,Mocuba,MZ,2019-11-10 03:14:26,-16.84,36.99,73.08,97,58,2.84
81,Ballina,IE,2019-11-10 03:14:27,54.11,-9.15,42.01,90,34,3.85
82,Severo-Kurilsk,RU,2019-11-10 03:14:27,50.68,156.12,31.19,88,88,24.63
83,Namatanai,PG,2019-11-10 03:14:27,-3.66,152.44,77.72,89,100,21.88
84,Chicama,PE,2019-11-10 03:14:27,-7.84,-79.15,64.4,82,75,9.17
85,Harboore,DK,2019-11-10 03:14:28,56.62,8.18,37.0,75,22,4.7
86,Chokurdakh,RU,2019-11-10 03:14:16,70.62,147.9,-4.46,95,70,5.53
87,Adeje,NG,2019-11-10 03:14:28,5.68,5.76,77.31,92,100,2.48
88,Hami,CN,2019-11-10 03:14:28,42.84,93.51,42.75,22,0,1.48
89,Gopalpur,BD,2019-11-10 03:14:28,24.18,89.13,74.23,87,100,19.24
90,Jalu,LY,2019-11-10 03:14:29,29.03,21.55,71.69,29,71,12.15
91,Batticaloa,LK,2019-11-10 03:14:29,7.71,81.69,81.79,73,100,2.64
92,Tubmanburg,LR,2019-11-10 03:14:29,6.87,-10.82,73.36,97,83,1.57
93,Barrow,AR,2019-11-10 03:14:29,-38.31,-60.23,46.02,67,0,7.78
94,Hithadhoo,MV,2019-11-10 03:14:29,-0.6,73.08,82.0,74,1,9.15
95,Bayir,TR,2019-11-10 03:14:29,37.27,28.22,51.8,93,53,3.36
96,Bacolod,PH,2019-11-10 03:09:49,10.68,122.95,82.9,76,42,8.19
97,Bogorodskoye,RU,2019-11-10 03:14:30,52.37,140.44,20.03,65,0,5.23
98,Wana,PK,2019-11-10 03:14:30,32.31,69.59,41.67,42,0,5.01
99,Ugra,RU,2019-11-10 03:14:30,54.78,34.32,46.99,96,100,8.95
100,Bethel,US,2019-11-10 03:11:24,60.79,-161.76,28.4,85,1,13.87
101,Rikitea,PF,2019-11-10 03:14:31,-23.12,-134.97,73.6,76,100,13.11
102,Castro,CL,2019-11-10 03:14:31,-42.48,-73.76,51.8,93,100,4.7
103,La Ronge,CA,2019-11-10 03:14:31,55.1,-105.3,8.6,65,75,8.05
104,Moron,HT,2019-11-10 03:14:31,18.56,-74.26,79.32,82,0,4.32
105,Solenzo,BF,2019-11-10 03:14:32,12.18,-4.08,79.61,42,0,4.54
106,Vazhiny,RU,2019-11-10 03:14:32,60.96,34.04,35.82,99,100,3.67
107,Alofi,NU,2019-11-10 03:14:33,-19.06,-169.92,80.6,69,0,13.87
108,Kibala,TD,2019-11-10 03:14:33,9.11,18.35,73.67,39,100,1.68
109,Berlevag,NO,2019-11-10 03:14:33,70.86,29.09,31.68,72,100,9.8
110,Buala,SB,2019-11-10 03:14:34,-8.15,159.59,83.26,77,100,4.56
111,Angoche,MZ,2019-11-10 03:14:34,-16.23,39.91,78.33,88,96,3.24
112,Truth Or Consequences,US,2019-11-10 03:14:34,33.13,-107.25,60.8,31,1,5.39
113,Vidalia,US,2019-11-10 03:14:34,31.57,-91.43,42.8,81,1,3.02
114,Harper,US,2019-11-10 03:14:34,30.3,-99.24,57.2,76,1,10.87
115,Sao Bento Do Sul,BR,2019-11-10 03:14:34,-26.25,-49.38,72.0,98,100,3.0
116,Kodiak,US,2019-11-10 03:14:13,39.95,-94.76,55.99,57,1,12.75
117,Pevek,RU,2019-11-10 03:14:35,69.7,170.27,5.23,72,0,1.66
118,Bonen,FR,2019-11-10 03:14:35,48.2,-3.31,50.0,93,0,9.17
119,New Norfolk,AU,2019-11-10 03:14:35,-42.78,147.06,63.0,36,4,18.34
120,Batagay-Alyta,RU,2019-11-10 03:14:36,67.8,130.41,-15.85,81,38,4.32
121,Prince Rupert,CA,2019-11-10 03:14:36,54.32,-130.32,50.0,93,90,10.29
122,Bull Savanna,JM,2019-11-10 03:14:36,17.89,-77.59,70.95,93,3,1.72
123,Mandalgovi,MN,2019-11-10 03:14:14,45.76,106.27,34.41,49,0,17.11
124,Geraldton,CA,2019-11-10 03:14:36,49.72,-86.95,15.8,85,90,4.7
